"","Vertex1","Vertex2"
"3445","warren zevon","orleans"
"3446","dan fogelberg","pablo cruise"
"3447","jim croce","england dan & john ford coley"
"3448","gordon lightfoot","little river band"
"3449","pure prairie league","art garfunkel"
"3450","firefall","david gates"
"3451","boz scaggs","harry chapin"
"3452","van morrison","bread"
"3453","jefferson starship","rita coolidge"
"3454","little river band","captain & tennille"
"3455","stephen stills","melissa manchester"
"3456","pete townshend","robbie dupree"
"3457","warren zevon","player"
"3458","jackson browne","nicolette larson"
"3459","al stewart","bob welch"
"3460","traveling wilburys","little river band"
"3461","jeff lynne","england dan & john ford coley"
"3462","julian lennon","melissa manchester"
"3463","todd rundgren","captain & tennille"
"3464","joe walsh","gary wright"
"3465","robert plant","dan fogelberg"
"3466","pretenders","robert john"
"3467","mudcrutch","david gates"
"3468","john waite","steve winwood"
"3469","quarterflash","huey lewis & the news"
"3470","corey hart","rick springfield"
"3471","the babys","firefall"
"3472","john parr","mike + the mechanics"
"3473","huey lewis & the news","the doobie brothers"
"3474","little river band","robert palmer"
"3475","the j. geils band","eddie money"
"3476","joe walsh","ambrosia"
"3477","eddie money","boz scaggs"
"3478","three dog night","wang chung"
"3479","bachman-turner overdrive","christopher cross"
"3480","loverboy","shawn mullins"
"3481","38 special","jackson browne"
"3482","rick springfield","joan osborne"
"3483","don henley","melissa etheridge"
"3484","jefferson starship","joshua kadison"
"3485","huey lewis & the news","bonnie raitt"
"3486","joe walsh","shawn colvin"
"3487","boston","natalie merchant"
"3488","bachman-turner overdrive","sheryl crow"
"3489","styx","jennifer warnes"
"3490","heart","amanda marshall"
"3491","sammy hagar","carole king"
"3492","the babys","tracy chapman"
"3493","head east","van morrison"
"3494","pat benatar","bruce springsteen"
"3495","night ranger","billy joel"
"3496","john mellencamp","carly simon"
"3497","loggins & messina","steve perry"
"3498","gino vannelli","peter cetera"
"3499","jefferson starship","paul carrack"
"3500","dan fogelberg","quarterflash"
"3501","paul davis","daryl hall"
"3502","poco","starship"
"3503","pure prairie league","john waite"
"3504","nicolette larson","lou gramm"
"3505","michael mcdonald","christopher cross"
"3506","donald fagen","sheena easton"
"3507","bob welch","ambrosia"
"3508","dan fogelberg","john parr"
"3509","dave mason","john waite"
"3510","jd souther","go west"
"3511","jesse colin young","glass tiger"
"3512","orleans","richard marx"
"3513","little river band","the power station"
"3514","jefferson starship","lou gramm"
"3515","boz scaggs","paul young"
"3516","ambrosia","kim carnes"
"3517","crosby, stills & nash","nik kershaw"
"3518","pure prairie league","mr. mister"
"3519","jd souther","cutting crew"
"3520","firefall","paul carrack"
"3521","dave mason","johnny hates jazz"
"3522","jesse colin young","robert palmer"
"3523","jonathan edwards","nik kershaw"
"3524","stephen stills","level 42"
"3525","chris hillman","the hooters"
"3526","new riders of the purple sage","glenn frey"
"3527","pablo cruise","go west"
"3528","bob welch","fine young cannibals"
"3529","crosby, stills & nash","bruce hornsby"
"3530","rick springfield","james taylor"
"3531","don henley","crosby, stills & nash"
"3532","reo speedwagon","warren zevon"
"3533","pat benatar","jim croce"
"3534","starship","gordon lightfoot"
"3535","daryl hall & john oates","pure prairie league"
"3536","the romantics","firefall"
"3537","38 special","dave mason"
"3538","kenny loggins","boz scaggs"
"3539","corey hart","bruce hornsby"
"3540","robert palmer","van morrison"
"3541","the cars","jefferson starship"
"3542","the j. geils band","little river band"
"3543","billy squier","stephen stills"
"3544","fine young cannibals","christine mcvie"
"3545","level 42","pete townshend"
"3546","the power station","warren zevon"
"3547","wang chung","jackson browne"
"3548","huey lewis & the news","al stewart"
"3549","howard jones","traveling wilburys"
"3550","abc","jeff lynne"
"3551","the romantics","julian lennon"
"3552","joe jackson","boz scaggs"
"3553","nik kershaw","todd rundgren"
"3554","don henley","joe walsh"
"3555","bryan ferry","robert plant"
"3556","thompson twins","pretenders"
"3557","rick springfield","mudcrutch"
"3558","corey hart","lou gramm"
"3559","john parr","john waite"
"3560","mr. mister","quarterflash"
"3561","loverboy","mr. mister"
"3562","honeymoon suite","eddie money"
"3563","quarterflash","cutting crew"
"3564","platinum blonde","night ranger"
"3565","starship","38 special"
"3566","wang chung","starship"
"3567","gowan","don henley"
"3568","benjamin orr","the babys"
"3569","huey lewis & the news","john parr"
"3570","tom cochrane","huey lewis & the news"
"3571","pablo cruise","head east"
"3572","gary wright","little river band"
"3573","bob welch","atlanta rhythm section"
"3574","ambrosia","the babys"
"3575","pure prairie league","the j. geils band"
"3576","paul davis","pablo cruise"
"3577","the ozark mountain daredevils","eddie money"
"3578","nicolette larson","poco"
"3579","player","orleans"
"3580","stephen bishop","three dog night"
"3581","england dan & john ford coley","paul davis"
"3582","dave mason","bachman-turner overdrive"
"3583","firefall","billy squier"
"3584","loggins & messina","38 special"
"3585","stephen bishop","the j. geils band"
"3586","orleans","reo speedwagon"
"3587","england dan & john ford coley","jefferson starship"
"3588","art garfunkel","joe walsh"
"3589","poco","boston"
"3590","ambrosia","styx"
"3591","harry chapin","heart"
"3592","jd souther","sammy hagar"
"3593","bread","the babys"
"3594","rita coolidge","pat benatar"
"3595","captain & tennille","night ranger"
"3596","melissa manchester","john mellencamp"
"3597","robbie dupree","pablo cruise"
"3598","player","seals and crofts"
"3599","nicolette larson","dave mason"
"3600","orleans","stephen bishop"
"3601","bertie higgins","orleans"
"3602","christopher cross","gino vannelli"
"3603","england dan & john ford coley","dan fogelberg"
"3604","melissa manchester","paul davis"
"3605","captain & tennille","pure prairie league"
"3606","gary wright","nicolette larson"
"3607","dan fogelberg","michael mcdonald"
"3608","robert john","donald fagen"
"3609","david gates","bob welch"
"3610","john mellencamp","jesse colin young"
"3611","jackson browne","atlanta rhythm section"
"3612","rick springfield","jonathan edwards"
"3613","little river band","stephen stills"
"3614","38 special","chris hillman"
"3615","mr. mister","dan fogelberg"
"3616","joe walsh","seals and crofts"
"3617","mike + the mechanics","crosby, stills & nash"
"3618","the doobie brothers","little river band"
"3619","eddie money","pat benatar"
"3620","mr. mister","daryl hall & john oates"
"3621","ambrosia","steve perry"
"3622","the j. geils band","38 special"
"3623","rick springfield","kenny loggins"
"3624","jackson browne","corey hart"
"3625","38 special","robert palmer"
"3626","wang chung","the cars"
"3627","atlanta rhythm section","the j. geils band"
"3628","christopher cross","billy squier"
"3629","shawn mullins","fine young cannibals"
"3630","bruce hornsby","level 42"
"3631","melissa etheridge","wang chung"
"3632","shawn colvin","huey lewis & the news"
"3633","natalie merchant","glenn frey"
"3634","sheryl crow","howard jones"
"3635","jennifer warnes","abc"
"3636","amanda marshall","the romantics"
"3637","carole king","joe jackson"
"3638","tracy chapman","nik kershaw"
"3639","bruce springsteen","bryan ferry"
"3640","billy joel","thompson twins"
"3641","carly simon","rick springfield"
"3642","mr. mister","john parr"
"3643","steve perry","cutting crew"
"3644","paul davis","loverboy"
"3645","eric carmen","rick springfield"
"3646","glass tiger","honeymoon suite"
"3647","peter cetera","quarterflash"
"3648","paul carrack","red rider"
"3649","quarterflash","platinum blonde"
"3650","daryl hall","starship"
"3651","starship","glenn frey"
"3652","lou gramm","gowan"
"3653","christopher cross","benjamin orr"
"3654","sheena easton","huey lewis & the news"
"3655","ambrosia","tom cochrane"
"3656","starship","gary wright"
"3657","wang chung","little river band"
"3658","john waite","ambrosia"
"3659","glass tiger","the ozark mountain daredevils"
"3660","the power station","nicolette larson"
"3661","paul young","atlanta rhythm section"
"3662","huey lewis & the news","stephen bishop"
"3663","kim carnes","england dan & john ford coley"
"3664","nik kershaw","dave mason"
"3665","mr. mister","seals and crofts"
"3666","paul carrack","loggins & messina"
"3667","richard marx","paul davis"
"3668","robert palmer","pablo cruise"
"3669","level 42","art garfunkel"
"3670","the hooters","poco"
"3671","glenn frey","david gates"
"3672","chris de burgh","harry chapin"
"3673","cock robin","jd souther"
"3674","go west","bread"
"3675","fine young cannibals","rita coolidge"
"3676","bruce hornsby","captain & tennille"
"3677","glass tiger","melissa manchester"
"3678","crosby, stills & nash","robbie dupree"
"3679","poco","player"
"3680","don henley","stephen bishop"
"3681","dan fogelberg","nicolette larson"
"3682","jim croce","orleans"
"3683","gordon lightfoot","bertie higgins"
"3684","pure prairie league","bob welch"
"3685","seals and crofts","christopher cross"
"3686","dave mason","england dan & john ford coley"
"3687","boz scaggs","melissa manchester"
"3688","van morrison","captain & tennille"
"3689","little river band","robert john"
"3690","stephen stills","david gates"
"3691","christine mcvie","glenn frey"
"3692","pete townshend","steve winwood"
"3693","jackson browne","john mellencamp"
"3694","al stewart","little river band"
"3695","jeff lynne","the j. geils band"
"3696","julian lennon","mr. mister"
"3697","boz scaggs","joe walsh"
"3698","todd rundgren","loverboy"
"3699","robert plant","firefall"
"3700","pretenders","mike + the mechanics"
"3701","mudcrutch","the doobie brothers"
"3702","john waite","bruce hornsby"
"3703","eddie money","mr. mister"
"3704","john parr","atlanta rhythm section"
"3705","huey lewis & the news","christopher cross"
"3706","head east","shawn mullins"
"3707","atlanta rhythm section","joan osborne"
"3708","the babys","melissa etheridge"
"3709","the j. geils band","joshua kadison"
"3710","bob welch","bonnie raitt"
"3711","joe walsh","natalie merchant"
"3712","eddie money","sheryl crow"
"3713","loverboy","jennifer warnes"
"3714","38 special","amanda marshall"
"3715","orleans","tracy chapman"
"3716","three dog night","bruce springsteen"
"3717","paul davis","billy joel"
"3718","bachman-turner overdrive","carly simon"
"3719","billy squier","mr. mister"
"3720","don henley","eric carmen"
"3721","huey lewis & the news","corey hart"
"3722","joe walsh","glass tiger"
"3723","boston","peter cetera"
"3724","bachman-turner overdrive","paul carrack"
"3725","styx","quarterflash"
"3726","heart","daryl hall"
"3727","sammy hagar","starship"
"3728","the babys","john waite"
"3729","head east","lou gramm"
"3730","pat benatar","christopher cross"
"3731","night ranger","sheena easton"
"3732","john mellencamp","ambrosia"
"3733","pablo cruise","corey hart"
"3734","loggins & messina","starship"
"3735","stephen bishop","go west"
"3736","atlanta rhythm section","glenn frey"
"3737","gino vannelli","rick springfield"
"3738","dan fogelberg","richard marx"
"3739","paul davis","steve perry"
"3740","nicolette larson","paul young"
"3741","michael mcdonald","huey lewis & the news"
"3742","donald fagen","kim carnes"
"3743","bob welch","nik kershaw"
"3744","jonathan edwards","cutting crew"
"3745","dan fogelberg","paul carrack"
"3746","poco","richard marx"
"3747","dave mason","robert palmer"
"3748","the ozark mountain daredevils","nik kershaw"
"3749","harry chapin","the hooters"
"3750","atlanta rhythm section","chris de burgh"
"3751","little river band","cock robin"
"3752","jefferson starship","go west"
"3753","ambrosia","bruce hornsby"
"3754","crosby, stills & nash","glass tiger"
"3755","pure prairie league","james taylor"
"3756","jd souther","crosby, stills & nash"
"3757","firefall","poco"
"3758","the ozark mountain daredevils","loggins & messina"
"3759","dave mason","warren zevon"
"3760","jesse colin young","dan fogelberg"
"3761","atlanta rhythm section","jim croce"
"3762","jonathan edwards","gordon lightfoot"
"3763","stephen stills","pure prairie league"
"3764","chris hillman","seals and crofts"
"3765","new riders of the purple sage","firefall"
"3766","pablo cruise","van morrison"
"3767","bob welch","jefferson starship"
"3768","rick springfield","christine mcvie"
"3769","don henley","pete townshend"
"3770","reo speedwagon","don henley"
"3771","starship","bob welch"
"3772","daryl hall & john oates","al stewart"
"3773","the romantics","traveling wilburys"
"3774","38 special","jeff lynne"
"3775","kenny loggins","julian lennon"
"3776","corey hart","boz scaggs"
"3777","robert palmer","todd rundgren"
"3778","the cars","robert plant"
"3779","the j. geils band","pretenders"
"3780","billy squier","mudcrutch"
"3781","fine young cannibals","lou gramm"
"3782","level 42","john waite"
"3783","the power station","rick springfield"
"3784","wang chung","glass tiger"
"3785","huey lewis & the news","eddie money"
"3786","abc","night ranger"
"3787","the romantics","38 special"
"3788","joe jackson","jefferson starship"
"3789","bryan ferry","the babys"
"3790","thompson twins","john parr"
"3791","corey hart","head east"
"3792","john parr","gary wright"
